Time,Airspeed,Altitude,Roll,Pitch,Yaw,Rudder
36.476,6.59,0.548289341,0.19,-1.83,-79.91,1.215
36.533,6.45,0.457045363,0.14,-1.93,-79.98,1.215
36.587,6.44,0.548289341,0.11,-2.16,-80.08,1.215
36.758,6.34,0.459168686,0.05,-2.97,-80.33,-247.7925
36.814,6.41,0.46129201,0.03,-3.22,-80.39,1.215
36.87,6.29,0.457045363,0.03,-3.38,-80.45,1.215
36.926,6.06,0.639534399,0.01,-3.47,-80.51,1.215
36.984,6.06,0.274560646,0.01,-3.53,-80.57,1.215
37.038,6.24,0.370043285,0.02,-3.44,-80.62,1.215
37.094,6.09,0.459168686,0.04,-3.38,-80.63,1.215
37.21,6.25,0.822027753,0.11,-3.37,-80.66,-247.7925
37.265,6.56,0.728648473,0.13,-3.34,-80.7,1.215
37.324,6.29,0.367922875,0.17,-3.3,-80.69,1.215
37.377,6.46,0.459168686,0.18,-3.21,-80.69,1.215
37.434,6.43,0.732912599,0.21,-3.2,-80.69,1.215
37.489,6.35,0.639534399,0.23,-3.11,-80.7,1.215
37.546,6.35,0.732912599,0.23,-3.01,-80.7,1.215
37.602,6.32,0.459168686,0.12,-2.98,-80.71,1.215
37.75,6.25,0.459168686,0.12,-2.67,-80.71,1.215
37.805,6.26,0.639534399,0.13,-2.46,-80.71,1.215
37.863,6.37,0.641663549,0.13,-2.3,-80.71,1.215
37.92,6.41,0.643792699,0.14,-2.16,-80.71,1.215
37.978,6.41,0.552541814,0.14,-2.08,-80.71,1.215
38.033,6.43,0.548289341,0.14,-1.99,-80.71,1.215
38.089,6.4,0.276678143,0.17,-1.94,-80.71,1.215
38.276,6.31,0.459168686,0.2,-1.74,-80.69,307.09125
38.331,6.31,0.546163104,0.19,-1.74,-80.69,1.215
38.388,6.42,0.637405249,0.2,-1.77,-80.69,1.215
38.443,6.41,0.459168686,0.2,-1.72,-80.69,1.215
38.5,6.4,0.548289341,0.22,-1.69,-80.69,1.215
38.555,6.39,0.459168686,0.23,-1.66,-80.69,1.215
38.612,6.27,0.367922875,0.25,-1.71,-80.69,1.215
38.829,6.32,0.189663657,0.33,-1.95,-80.7,1.215
38.884,6.39,0.276678143,0.34,-1.98,-80.7,1.215
38.942,6.36,0.370043285,0.36,-2.03,-80.7,1.215
38.997,6.28,0.187549074,0.31,-2.14,-80.71,1.215
39.053,6.27,0.187549074,0.3,-2.21,-80.71,1.215
39.109,6.39,0.096303588,0.35,-2.34,-80.71,1.215
39.167,6.44,0.098415258,0.37,-2.44,-80.71,1.215
39.223,6.2,0.187549074,0.32,-2.53,-80.71,1.215
39.281,6.19,0.187549074,0.24,-2.67,-80.72,1.215
39.334,6.18,0.187549074,0.21,-2.8,-80.72,1.215
39.391,6.2,0.094191917,0.22,-2.85,-80.72,1.215
39.446,6.03,0.098415258,0.26,-2.92,-80.72,1.215
39.502,6,0.007167939,0.29,-2.97,-80.72,1.215
39.559,6.05,0.007167939,0.29,-3.04,-80.72,1.215
39.615,6.05,0.007167939,0.3,-3.07,-80.72,1.215
39.672,6.2,-0.086184146,0.32,-3.11,-80.72,1.215
39.727,6.19,-0.084078301,0.34,-3.11,-80.72,1.215
39.784,6.19,-0.179529325,0.35,-3.13,-80.72,1.215
39.84,6.3,-0.177426393,0.34,-3.15,-80.72,1.215
39.896,6.3,-0.179529325,0.32,-3.17,-80.73,1.215
39.952,6.22,-0.268667561,0.3,-3.22,-80.73,1.215
40.01,6.23,-0.177426393,0.3,-3.22,-80.73,1.215
40.066,6.2,-0.27076758,0.29,-3.18,-80.73,1.215
40.124,6.14,-0.181632256,0.3,-3.16,-80.73,1.215
40.18,6.27,-0.268667561,0.27,-3.14,-80.73,1.215
40.235,6.37,-0.27076758,0.25,-3.15,-80.73,1.215
40.29,6.26,-0.357810544,0.23,-3.11,-80.74,1.215
40.348,6.12,-0.451146659,0.2,-3.09,-80.74,1.215
40.404,6.16,-1.45470452,0.19,-3.07,-80.74,1.215
40.46,6.27,-1.183090763,0.18,-2.94,-80.74,1.215
40.517,5.97,-2,0.17,-2.84,-80.74,1.215
40.575,6.13,-2,0.16,-2.72,-80.75,1.215
40.632,6.03,-1.908725357,0.14,-2.38,-80.79,-1.1475
40.688,6.01,-1.545820889,0.12,-2.53,-80.71,-1.1475
40.745,5.79,-2,0.11,-2.27,-80.67,-1.08
40.799,5.36,1.558207749,-0.11,-1.95,-80.58,-0.6075
40.966,5.11,0.558370366,-0.21,-2.08,-80.5,-0.54
