Time,Altitude,Airspeed,Roll,Pitch,Yaw,Rudder,AoS
21.617,6.73,9.76,-0.76,-1.1,5.6,-0.03375,9.93
21.671,6.73,9.74,-0.8,-1.07,5.61,-0.0675,10.02
21.728,6.69,9.71,-0.84,-1.04,5.62,-0.0675,9.93
21.781,6.69,9.74,-0.86,-1.02,5.62,-0.0675,9.85
21.836,6.66,9.74,-0.88,-1.01,5.62,-0.0675,10.02
21.89,6.64,9.77,-0.92,-1.01,5.62,-0.03375,10.11
21.945,6.64,9.78,-0.92,-1.01,5.62,-0.03375,10.29
22.002,6.61,9.81,-0.92,-1,5.61,-0.03375,10.29
22.06,6.61,9.81,-0.94,-1,5.61,-0.10125,10.2
22.11,6.57,9.8,-0.93,-1.02,5.61,-0.135,10.2
22.166,6.56,9.79,-0.91,-1.03,5.61,-0.0675,10.2
22.221,6.56,9.84,-0.9,-1.03,5.61,-0.03375,10.11
22.279,6.56,9.84,-0.89,-1.02,5.61,-0.0675,9.85
22.331,6.56,9.92,-0.88,-1.01,5.61,-0.0675,9.76
22.388,6.51,9.91,-0.9,-1,5.61,-0.135,9.67
22.44,6.48,9.91,-0.9,-0.99,5.61,-0.03375,9.58
22.494,6.48,9.89,-0.91,-0.98,5.6,-0.10125,9.06
22.548,6.45,9.92,-0.94,-0.99,5.6,-0.03375,8.97
22.605,6.45,9.98,-0.96,-0.99,5.6,-0.03375,8.97
22.659,6.43,10,-0.96,-0.99,5.6,-0.10125,8.88
22.714,6.42,9.96,-0.97,-0.98,5.6,-0.03375,8.88
22.77,6.42,9.97,-0.96,-0.98,5.6,-0.03375,8.7
22.827,6.4,9.95,-0.94,-0.98,5.6,-0.10125,8.62
22.879,6.4,9.8,-0.92,-0.97,5.6,-0.0675,8.09
22.936,6.36,9.82,-0.9,-0.96,5.59,-0.0675,8
22.989,6.35,9.9,-0.87,-0.95,5.59,-0.03375,7.91
23.042,6.35,10.01,-0.84,-0.94,5.59,-0.03375,8.26
23.099,6.34,10.11,-0.79,-0.91,5.59,-0.03375,8.35
23.156,6.29,10.11,-0.74,-0.86,5.59,-0.10125,7.65
23.208,6.29,10.24,-0.72,-0.83,5.59,-0.03375,7.3
23.265,6.27,10.17,-0.68,-0.82,5.59,-0.03375,7.74
23.318,6.27,10.09,-0.63,-0.82,5.59,-0.03375,7.83
23.376,6.21,10.1,-0.56,-0.8,5.59,-0.0675,7.91
23.427,6.18,10.06,-0.51,-0.79,5.59,-0.03375,7.83
23.485,6.18,10.09,-0.47,-0.79,5.59,-0.03375,7.39
23.539,6.17,10.15,-0.41,-0.79,5.6,-0.03375,6.86
23.595,6.17,10.12,-0.37,-0.79,5.6,-0.03375,6.95
23.646,6.13,10.07,-0.31,-0.8,5.6,-0.10125,5.8
23.701,6.09,10.1,-0.27,-0.84,5.6,-0.0675,5.19
23.756,6.06,10.07,-0.22,-0.91,5.6,-0.10125,5.19
23.814,6.06,10.1,-0.18,-0.96,5.6,-0.03375,5.19
23.866,6.06,10.15,-0.13,-1.02,5.6,-0.0675,4.93
23.92,6.06,10.08,-0.09,-1.06,5.6,-0.03375,4.57
23.975,6.02,10.1,-0.03,-1.11,5.6,-0.0675,4.4
24.026,6.02,10.07,0.02,-1.15,5.6,-0.03375,4.49
24.083,6.04,10,0.07,-1.19,5.6,-0.0675,5.01
24.135,5.97,9.94,0.08,-1.27,5.6,-0.10125,5.01
24.191,5.93,10.02,0.1,-1.34,5.61,-0.03375,5.28
24.246,5.93,9.97,0.11,-1.43,5.61,-0.03375,5.28
24.299,5.92,9.95,0.1,-1.49,5.61,-0.10125,5.19
24.355,5.92,10.13,0.05,-1.5,5.61,-0.03375,5.1
24.412,5.95,10.08,0.04,-1.55,5.61,-0.10125,5.01
24.465,5.95,10.02,0.05,-1.65,5.61,-0.03375,5.01
24.523,5.95,10.09,0.03,-1.71,5.61,-0.03375,5.1
24.575,5.9,10.05,0.01,-1.75,5.62,-0.03375,4.49
24.632,5.88,10.04,-0.01,-1.79,5.63,-0.0675,4.31
24.685,5.88,9.94,-0.03,-1.78,5.63,-0.03375,4.31
24.743,5.92,9.8,-0.04,-1.75,5.64,-0.10125,4.31
24.796,5.92,9.81,-0.06,-1.7,5.65,-0.0675,4.22
24.852,5.95,9.83,-0.05,-1.67,5.65,-0.03375,3.96
24.904,5.94,9.89,-0.05,-1.66,5.65,-0.03375,3.78
24.962,5.95,9.85,-0.03,-1.66,5.65,-0.03375,3.61
25.013,5.95,9.73,-0.05,-1.64,5.65,-0.03375,3.61
25.071,5.98,9.92,-0.07,-1.62,5.65,-0.0675,3.34
25.122,5.98,10,-0.07,-1.59,5.65,-0.0675,3.34
25.18,6,9.89,-0.07,-1.58,5.65,-0.03375,2.82
25.234,6,9.89,-0.08,-1.57,5.68,-0.03375,2.64
25.29,6,9.86,-0.11,-1.57,5.7,-0.03375,2.55
25.342,6.01,9.86,-0.13,-1.56,5.73,-0.03375,2.64
25.4,6.03,9.85,-0.17,-1.52,5.77,-0.03375,2.73
25.453,6.03,9.8,-0.24,-1.5,5.81,-0.03375,2.73
25.509,6.05,9.88,-0.32,-1.38,5.83,-0.0675,2.64
25.561,6.05,9.92,-0.39,-1.39,5.87,-0.03375,1.67
25.616,6.02,9.88,-0.46,-1.37,5.91,-0.0675,0.97
25.67,6.03,9.84,-0.53,-1.34,5.96,-0.03375,0.97
25.722,6.03,9.8,-0.63,-1.29,6,-0.03375,1.06
25.779,6.06,9.77,-0.72,-1.26,6.04,-0.03375,1.06
25.832,6.04,9.66,-0.8,-1.27,6.09,-0.0675,1.06
25.887,6.04,9.7,-0.88,-1.26,6.13,-0.03375,1.23
25.941,6.04,9.67,-0.96,-1.22,6.18,-0.03375,1.32
25.997,6.04,9.73,-1.01,-1.19,6.21,-0.03375,0.71
26.05,6.03,9.77,-1.05,-1.13,6.27,-0.0675,0.62
26.105,6.04,9.78,-1.07,-1.09,6.31,-0.0675,0.44
26.161,6.04,9.76,-1.08,-1.03,6.35,-0.03375,0.97
26.218,5.99,9.74,-1.08,-0.98,6.39,-0.10125,0.97
26.271,5.96,9.69,-1.08,-0.91,6.43,-0.03375,0.88
26.327,5.96,9.76,-1.09,-0.86,6.47,-0.0675,1.15
26.379,5.97,9.89,-1.07,-0.79,6.52,-0.10125,0.71
26.433,5.99,9.9,-1.06,-0.74,6.57,-0.03375,0.71
26.488,5.99,9.95,-1.04,-0.68,6.61,-0.0675,1.23
26.541,5.96,9.89,-1,-0.62,6.66,-0.03375,1.23
26.598,5.96,9.82,-0.95,-0.55,6.71,-0.03375,1.41
26.655,5.93,9.77,-0.9,-0.47,6.75,-0.10125,1.76
26.711,5.93,9.8,-0.83,-0.36,6.8,-0.0675,1.76
26.767,5.93,9.7,-0.78,-0.26,6.85,-0.0675,2.11
26.818,5.91,9.86,-0.7,-0.17,6.89,-0.03375,1.85
26.876,5.89,9.81,-0.63,-0.1,6.94,-0.03375,2.02
26.927,5.89,9.64,-0.54,-0.02,6.99,-0.10125,2.29
26.98,5.87,9.58,-0.47,0.04,7.03,-0.03375,2.38
27.036,5.86,9.56,-0.4,0.07,7.08,-0.0675,2.55
27.089,5.86,9.58,-0.32,0.12,7.13,-0.10125,2.64
27.144,5.82,9.69,-0.24,0.13,7.19,-0.10125,2.9
27.197,5.82,9.74,-0.17,0.14,7.23,-0.10125,2.64
27.25,5.8,9.82,-0.11,0.15,7.28,-0.03375,2.64
27.307,5.79,9.68,-0.05,0.15,7.34,-0.10125,2.82
27.365,5.76,9.77,0,0.16,7.4,-0.10125,2.82
27.418,5.76,9.83,0.05,0.17,7.44,-0.03375,2.73
27.474,5.72,9.85,0.09,0.15,7.49,-0.03375,2.64
27.525,5.72,9.96,0.15,0.14,7.56,-0.03375,2.46
27.579,5.73,9.95,0.18,0.13,7.62,-0.03375,2.11
27.633,5.66,9.96,0.23,0.12,7.66,-0.0675,2.11
27.685,5.66,9.97,0.31,0.13,7.73,-0.10125,2.02
27.738,5.63,9.97,0.36,0.09,7.78,-0.0675,1.94
27.796,5.63,10.02,0.4,0.03,7.83,-0.03375,2.02
27.853,5.57,9.99,0.46,-0.01,7.87,-0.0675,1.94
27.905,5.57,10.06,0.51,-0.04,7.94,-0.10125,1.59
27.961,5.52,10.03,0.55,-0.04,7.99,-0.10125,0.44
28.014,5.52,10.01,0.61,-0.04,8.06,-0.03375,0.88
28.074,5.5,9.98,0.65,-0.06,8.12,-0.0675,0.71
28.124,5.48,9.95,0.65,-0.09,8.2,-0.0675,0.97
28.178,5.48,9.92,0.6,-0.07,8.25,-0.0675,1.06
28.234,5.39,9.89,0.6,-0.1,8.33,-0.03375,0.97
28.291,5.36,9.88,0.6,-0.18,8.39,-0.0675,1.06
28.345,5.38,9.89,0.57,-0.31,8.47,-0.03375,1.15
28.401,5.38,9.92,0.55,-0.38,8.54,-0.10125,1.15
28.454,5.31,9.93,0.52,-0.48,8.61,-0.10125,2.02
28.511,5.27,10.03,0.53,-0.55,8.67,-0.03375,2.46
28.563,5.27,9.96,0.52,-0.64,8.74,-0.03375,2.55
28.62,5.24,9.85,0.5,-0.71,8.8,-0.03375,2.9
28.672,5.22,9.87,0.5,-0.8,8.87,-0.10125,2.99
28.724,5.22,9.78,0.51,-0.87,8.94,-0.10125,2.82
28.779,5.15,9.86,0.51,-0.96,9.02,-0.03375,2.9
28.834,5.11,9.86,0.5,-1.05,9.07,-0.0675,3.08
28.891,5.11,9.86,0.52,-1.09,9.14,-0.03375,3.26
28.943,5.1,9.85,0.55,-1.12,9.19,-0.0675,3.26
29,5.07,9.96,0.56,-1.15,9.22,-0.03375,2.9
29.054,5.04,9.84,0.62,-1.19,9.27,-0.03375,3.08
29.111,5.01,9.86,0.63,-1.23,9.32,-0.03375,3.17
29.163,5.01,9.77,0.62,-1.2,9.35,-0.03375,3.26
29.217,4.98,9.87,0.6,-1.2,9.4,-0.03375,3.26
29.272,4.99,9.9,0.6,-1.21,9.43,-0.10125,3.17
29.326,4.94,10.02,0.61,-1.19,9.45,-0.0675,3.08
29.381,4.94,9.93,0.6,-1.17,9.49,-0.0675,3.34
29.433,4.9,9.99,0.57,-1.2,9.54,-0.03375,3.34
29.49,4.89,10,0.53,-1.24,9.56,-0.10125,3.34
29.543,4.89,9.9,0.5,-1.28,9.6,-0.0675,3.26
29.599,4.86,9.88,0.48,-1.31,9.63,-0.03375,4.4
29.651,4.82,9.88,0.46,-1.34,9.67,-0.03375,4.49
29.708,4.81,9.78,0.43,-1.34,9.69,-0.03375,4.75
29.762,4.81,9.81,0.39,-1.34,9.73,-0.03375,4.84
29.818,4.81,9.72,0.35,-1.32,9.75,-0.0675,5.1
29.871,4.81,9.74,0.3,-1.3,9.78,-0.03375,5.01
29.923,4.81,9.73,0.23,-1.26,9.79,-0.03375,5.1
29.98,4.76,9.71,0.2,-1.22,9.81,-0.0675,5.1
30.033,4.73,9.7,0.16,-1.21,9.82,-0.0675,5.1
30.089,4.74,9.69,0.11,-1.2,9.83,-0.10125,5.1
30.142,4.74,9.71,0.07,-1.2,9.83,-0.0675,5.1
30.198,4.71,9.66,0.04,-1.19,9.83,-0.03375,5.19
30.252,4.66,9.67,0,-1.18,9.83,-0.03375,5.28
30.308,4.64,9.67,-0.02,-1.17,9.83,-0.03375,5.36
30.36,4.65,9.68,-0.04,-1.17,9.83,-0.0675,5.36
30.417,4.65,9.75,-0.04,-1.16,9.83,-0.0675,5.28
30.469,4.62,9.81,-0.05,-1.17,9.82,-0.03375,5.28
30.528,4.6,9.77,-0.07,-1.17,9.82,-0.03375,5.19
30.579,4.6,9.78,-0.07,-1.17,9.82,-0.0675,5.19
30.637,4.6,9.74,-0.07,-1.17,9.82,-0.0675,5.1
30.69,4.57,9.65,-0.07,-1.17,9.82,-0.03375,5.19
30.746,4.53,9.62,-0.05,-1.17,9.82,-0.03375,5.1
30.799,4.51,9.63,-0.05,-1.17,9.82,-0.03375,5.19
30.856,4.51,9.74,-0.04,-1.15,9.82,-0.03375,5.36
30.907,4.5,9.74,-0.01,-1.15,9.82,-0.0675,5.45
30.965,4.46,9.73,0.01,-1.15,9.82,-0.03375,5.45
31.018,4.44,9.77,0.04,-1.15,9.82,-0.03375,5.36
31.072,4.44,9.85,0.05,-1.16,9.82,-0.10125,5.36
31.126,4.44,9.74,0.05,-1.16,9.82,-0.03375,5.45
31.185,4.4,9.78,0.05,-1.16,9.82,-0.03375,5.36
31.237,4.37,9.77,0.05,-1.16,9.82,-0.0675,5.36
31.294,4.36,9.76,0.05,-1.16,9.82,-0.10125,5.45
31.347,4.37,9.85,0.04,-1.15,9.82,-0.0675,5.54
31.404,4.37,9.71,0.04,-1.14,9.82,-0.0675,5.45
31.457,4.36,9.74,0.04,-1.13,9.82,-0.10125,5.45
31.514,4.31,9.75,0.05,-1.09,9.82,-0.0675,5.45
31.567,4.29,9.79,0.04,-1.04,9.82,-0.10125,5.54
31.624,4.29,9.79,0.05,-1,9.82,-0.03375,5.63
31.677,4.29,9.72,0.04,-0.96,9.82,-0.0675,5.54
31.734,4.28,9.76,0.05,-0.94,9.82,-0.03375,5.63
31.787,4.24,9.78,0.04,-0.9,9.82,-0.03375,5.63
31.844,4.22,9.73,0.04,-0.89,9.82,-0.10125,5.63
31.896,4.21,9.76,0.04,-0.88,9.82,-0.10125,5.63
31.953,4.2,9.72,0.05,-0.84,9.82,-0.03375,5.72
32.007,4.18,9.66,0.04,-0.8,9.82,-0.03375,5.63
32.064,4.18,9.64,0.01,-0.75,9.82,-0.0675,5.63
32.115,4.16,9.61,-0.01,-0.71,9.82,-0.10125,5.72
32.172,4.14,9.57,-0.04,-0.67,9.82,-0.03375,5.8
32.226,4.13,9.5,-0.07,-0.62,9.82,-0.03375,5.8
32.282,4.11,9.49,-0.09,-0.57,9.82,-0.03375,5.8
32.334,4.11,9.37,-0.09,-0.5,9.82,-0.03375,5.8
32.391,4.06,9.41,-0.09,-0.45,9.82,-0.03375,5.89
32.445,4.02,9.46,-0.09,-0.39,9.82,-0.10125,5.98
32.503,3.99,9.53,-0.1,-0.37,9.82,-0.10125,5.98
32.555,3.99,9.56,-0.1,-0.36,9.82,-0.0675,5.98
32.612,3.95,9.62,-0.11,-0.35,9.82,-0.10125,5.63
32.663,3.95,9.63,-0.11,-0.36,9.82,-0.03375,5.63
32.717,3.9,9.62,-0.11,-0.36,9.82,-0.0675,5.45
32.772,3.87,9.68,-0.12,-0.35,9.82,-0.03375,5.36
32.827,3.84,9.59,-0.13,-0.33,9.82,-0.03375,5.19
32.882,3.82,9.52,-0.14,-0.28,9.82,-0.10125,5.01
32.94,3.76,9.55,-0.15,-0.25,9.82,-0.0675,5.01
32.994,3.71,9.55,-0.17,-0.22,9.82,-0.03375,5.19
33.05,3.67,9.56,-0.18,-0.21,9.82,-0.0675,5.28
33.102,3.67,9.49,-0.19,-0.19,9.82,-0.03375,5.19
33.156,3.65,9.5,-0.19,-0.17,9.82,-0.03375,5.19
33.211,3.62,9.51,-0.2,-0.17,9.82,-0.03375,5.01
33.264,3.59,9.54,-0.24,-0.17,9.82,-0.03375,5.01
33.32,3.54,9.55,-0.26,-0.2,9.82,-0.03375,4.84
33.373,3.51,9.63,-0.27,-0.22,9.82,-0.0675,4.84
33.429,3.48,9.7,-0.3,-0.26,9.82,-0.0675,4.57
33.481,3.47,9.71,-0.32,-0.32,9.82,0,4.57
33.538,3.45,9.63,-0.33,-0.38,9.82,-0.10125,4.49
33.591,3.42,9.6,-0.35,-0.41,9.82,-0.03375,4.31
33.649,3.38,9.61,-0.36,-0.45,9.82,-0.03375,4.13
33.702,3.36,9.69,-0.36,-0.47,9.82,-0.0675,4.13
33.759,3.34,9.68,-0.37,-0.47,9.82,-0.0675,4.13
33.81,3.34,9.76,-0.38,-0.49,9.82,-0.0675,4.05
33.864,3.3,9.73,-0.38,-0.5,9.82,-0.03375,4.05
33.921,3.29,9.73,-0.39,-0.51,9.82,-0.0675,3.96
33.978,3.26,9.72,-0.39,-0.52,9.82,-0.03375,3.87
34.03,3.26,9.69,-0.41,-0.55,9.82,-0.10125,3.61
34.088,3.22,9.76,-0.41,-0.57,9.82,-0.03375,2.02
34.141,3.2,9.82,-0.43,-0.58,9.82,-0.0675,1.94
34.198,3.19,9.82,-0.44,-0.58,9.82,-0.0675,1.85
34.25,3.18,9.85,-0.44,-0.61,9.82,-0.03375,1.94
34.308,3.16,9.81,-0.45,-0.65,9.82,-0.10125,1.94
34.36,3.12,9.78,-0.45,-0.69,9.82,-0.0675,2.02
34.417,3.1,9.72,-0.46,-0.75,9.82,-0.03375,2.02
34.468,3.1,9.65,-0.48,-0.81,9.81,-0.10125,1.85
34.525,3.08,9.69,-0.49,-0.86,9.81,-0.03375,1.67
34.578,3.06,9.71,-0.49,-0.92,9.81,-0.03375,1.32
34.635,3.03,9.8,-0.47,-0.94,9.81,-0.03375,1.32
34.689,3.02,9.77,-0.41,-0.95,9.82,-0.0675,1.32
34.747,3.02,9.78,-0.35,-0.95,9.82,-0.03375,1.23
34.799,3.02,9.81,-0.31,-0.95,9.82,-0.0675,1.23
34.856,3.01,9.8,-0.27,-0.95,9.82,-0.10125,1.23
34.908,2.99,9.8,-0.26,-0.95,9.82,-0.03375,1.15
34.967,2.97,9.82,-0.23,-0.95,9.82,-0.10125,1.15
35.024,2.96,9.8,-0.2,-0.95,9.82,-0.0675,1.15
35.077,2.96,9.82,-0.19,-0.95,9.82,-0.10125,1.06
35.131,2.94,9.89,-0.17,-0.95,9.82,-0.03375,1.06
35.186,2.92,9.88,-0.14,-0.94,9.82,-0.0675,1.06
35.239,2.91,9.93,-0.12,-0.95,9.82,-0.03375,1.15
35.295,2.91,10,-0.09,-0.97,9.82,-0.03375,1.15
35.348,2.9,9.98,-0.09,-0.96,9.82,-0.03375,0.97
35.405,2.86,9.98,-0.09,-0.98,9.82,-0.03375,1.06
35.458,2.85,10.04,-0.12,-0.98,9.82,892.0125,0.88
35.516,2.86,10.01,-0.11,-1.02,9.82,-0.03375,0.88
35.574,2.87,9.96,-0.09,-1.05,9.82,-0.03375,0.71
35.625,2.85,9.92,-0.05,-1.08,9.83,-0.03375,0.71
35.68,2.82,9.92,-0.04,-1.09,9.83,892.0125,0.71
35.736,2.79,9.94,-0.04,-1.12,9.83,-0.0675,0.71
35.793,2.78,9.94,-0.09,-1.09,9.83,-0.03375,0.53
35.846,2.77,9.92,-0.15,-1.04,9.83,-0.03375,0.44
35.903,2.76,9.87,-0.19,-1.02,9.83,-0.03375,0.35
35.956,2.74,9.82,-0.21,-1,9.83,-0.03375,0.27
36.011,2.74,9.81,-0.23,-1.01,9.83,892.0125,0.18
36.066,2.74,9.82,-0.26,-1.02,9.83,-0.0675,0
36.121,2.75,9.82,-0.28,-1.01,9.83,-0.0675,0
36.174,2.73,9.84,-0.28,-1.01,9.83,-0.03375,0.09
36.232,2.67,9.88,-0.26,-1.01,9.83,-0.0675,0.09
36.284,2.66,9.83,-0.27,-1.02,9.83,-0.10125,0.09
36.342,2.68,9.79,-0.29,-1.01,9.83,6.4125,-0.26
36.393,2.68,9.8,-0.28,-1,9.83,-0.03375,-0.35
36.45,2.67,9.93,-0.27,-1,9.83,-0.03375,-0.44
36.505,2.65,9.89,-0.24,-1,9.83,-0.03375,-0.52
36.558,2.64,9.97,-0.21,-1.01,9.84,-0.0675,-0.35
36.612,2.65,9.9,-0.2,-1.06,9.84,-0.0675,-0.26
36.665,2.64,9.92,-0.18,-1.07,9.84,-0.0675,-0.61
36.723,2.62,9.92,-0.18,-1.07,9.84,-0.0675,-1.4
36.775,2.62,9.94,-0.23,-1.05,9.84,-0.03375,-1.23
36.833,2.62,10.01,-0.27,-1.04,9.84,-0.0675,-0.96
36.89,2.63,9.88,-0.3,-1.07,9.84,-0.10125,-0.96
36.943,2.65,9.92,-0.31,-1.09,9.84,-0.03375,-0.96
37.001,2.64,9.95,-0.33,-1.06,9.84,-0.03375,-0.88
37.053,2.64,9.87,-0.35,-1.01,9.84,-0.10125,-0.96
37.107,2.64,9.84,-0.39,-0.98,9.84,-0.03375,-1.05
37.162,2.66,9.85,-0.43,-0.96,9.84,-0.03375,-1.05
37.217,2.66,9.81,-0.42,-0.92,9.84,-0.10125,-1.23
37.273,2.65,9.82,-0.45,-0.8,9.84,-0.03375,-1.32
37.33,2.63,9.77,-0.46,-0.7,9.85,-0.10125,-1.32
37.382,2.61,9.76,-0.47,-0.58,9.87,-0.03375,-1.32
37.434,2.62,9.66,-0.49,-0.52,9.89,-0.0675,-1.32
37.49,2.62,9.65,-0.52,-0.42,9.91,-0.03375,-1.14
37.549,2.6,9.64,-0.53,-0.33,9.96,-0.03375,-1.05
37.601,2.59,9.66,-0.58,-0.19,9.99,-0.03375,-0.96
37.654,2.59,9.69,-0.6,-0.1,10.03,-0.10125,-0.96
37.711,2.59,9.68,-0.62,-0.04,10.07,-0.0675,-0.88
37.765,2.59,9.69,-0.65,-0.01,10.1,-0.10125,-0.88
37.82,2.57,9.69,-0.66,0.06,10.13,-0.0675,-0.88
37.873,2.55,9.69,-0.69,0.11,10.17,-0.03375,-0.88
37.93,2.53,9.65,-0.7,0.16,10.18,-0.03375,-0.88
37.988,2.51,9.65,-0.73,0.18,10.2,-0.0675,-0.88
38.039,2.49,9.61,-0.74,0.19,10.2,-0.0675,-0.88
38.096,2.48,9.6,-0.76,0.18,10.2,-0.0675,-0.88
38.149,2.46,9.61,-0.79,0.15,10.2,-0.0675,-0.88
38.204,2.48,9.62,-0.8,0.16,10.2,-0.10125,-0.88
38.259,2.47,9.62,-0.81,0.18,10.2,-0.03375,-0.88
38.312,2.46,9.64,-0.82,0.2,10.2,-0.0675,-0.79
38.369,2.44,9.63,-0.84,0.22,10.19,-0.03375,-0.79
38.421,2.43,9.64,-0.86,0.21,10.19,-0.03375,-0.79
38.48,2.4,9.63,-0.89,0.22,10.19,-0.03375,-0.7
38.537,2.38,9.62,-0.89,0.24,10.19,-0.10125,-0.7
38.588,2.35,9.63,-0.9,0.24,10.19,-0.0675,-0.61
38.646,2.33,9.63,-0.91,0.25,10.19,-0.03375,-0.61
38.698,2.32,9.6,-0.92,0.23,10.19,-0.0675,-0.7
38.754,2.31,9.57,-0.93,0.19,10.19,-0.03375,-0.7
38.808,2.3,9.62,-0.94,0.18,10.19,-0.10125,-0.88
38.865,2.29,9.67,-0.95,0.17,10.18,-0.03375,-1.14
38.918,0.99,9.7,-0.97,0.16,10.18,-0.0675,-1.05
38.97,2.12,9.68,-0.97,0.16,10.18,-0.10125,-0.79
39.029,2.24,9.69,-0.98,0.12,10.18,-0.03375,-0.96
39.085,2.2,9.67,-0.98,0.08,10.18,-0.03375,-0.96
39.137,2.2,9.64,-0.99,0.03,10.18,-0.10125,-0.88
39.193,2.18,9.68,-0.99,-0.01,10.18,-0.0675,-0.52
39.247,2.17,9.67,-0.99,-0.04,10.18,-0.10125,-0.52
39.306,2.16,9.7,-1,-0.07,10.18,-0.0675,-0.35
39.358,2.15,9.79,-1.02,-0.1,10.18,-0.03375,-0.26
39.415,2.13,9.81,-1.05,-0.13,10.18,-0.10125,-0.08
39.467,2.12,9.83,-1.08,-0.16,10.18,-0.0675,-0.17
39.525,2.1,9.8,-1.1,-0.18,10.18,-0.10125,-0.08
39.577,2.08,9.74,-1.11,-0.18,10.18,-0.03375,-0.17
39.634,2.07,9.72,-1.12,-0.21,10.18,-0.03375,-0.17
39.686,2.06,9.68,-1.13,-0.24,10.18,-0.03375,-0.08
39.743,2.05,9.71,-1.14,-0.26,10.18,-0.03375,-0.17
39.795,2.02,9.71,-1.15,-0.3,10.18,-0.0675,-0.26
39.848,2.02,9.72,-1.14,-0.31,10.18,-0.03375,-0.26
39.905,1.99,9.7,-1.13,-0.33,10.18,-0.03375,-0.26
39.962,1.99,9.7,-1.09,-0.36,10.18,-0.10125,-0.44
40.016,1.98,9.64,-1.03,-0.37,10.18,-0.03375,-0.52
40.073,1.98,9.72,-1,-0.4,10.18,-0.03375,-0.26
40.125,1.94,9.71,-0.95,-0.41,10.18,-0.03375,-0.17
40.181,1.93,9.65,-0.91,-0.43,10.18,-0.03375,-0.08
40.235,1.89,9.59,-0.87,-0.43,10.18,-0.03375,0.09
40.292,1.89,9.61,-0.82,-0.43,10.18,-0.03375,0.18
40.344,1.87,9.51,-0.78,-0.44,10.18,-0.03375,0.09
40.396,1.87,9.53,-0.74,-0.43,10.18,-0.0675,0.09
40.453,1.54,9.56,-0.71,-0.4,10.18,-0.10125,0.18
40.507,1.82,9.51,-0.69,-0.39,10.18,-0.0675,0.09
40.563,1.81,9.49,-0.7,-0.4,10.18,-0.0675,0.18
40.621,1.79,9.48,-0.73,-0.41,10.18,-0.0675,-0.08
40.673,1.42,9.47,-0.75,-0.43,10.18,-0.03375,-0.08
40.73,1.37,9.52,-0.75,-0.43,10.18,-0.03375,-0.52
40.784,1.74,9.5,-0.74,-0.48,10.18,-0.0675,-0.7
40.841,1.28,9.48,-0.7,-0.49,10.18,-0.0675,-0.96
40.893,1.69,9.5,-0.66,-0.51,10.18,0,-1.23
40.946,1.68,9.48,-0.64,-0.53,10.18,-0.0675,-1.32
41.004,1.65,9.49,-0.63,-0.56,10.18,-0.03375,-1.4
41.06,1.64,9.48,-0.64,-0.6,10.18,-0.03375,-1.67
41.112,1.63,9.46,-0.64,-0.66,10.18,-0.0675,-1.84
41.169,1.59,9.47,-0.64,-0.68,10.18,-0.03375,-1.93
41.222,1.57,9.46,-0.63,-0.72,10.18,-0.0675,-2.11
41.28,1.56,9.44,-0.61,-0.72,10.18,-0.03375,-2.11
41.332,1.55,9.4,-0.64,-0.76,10.18,-0.03375,-2.02
41.39,1.53,9.4,-0.65,-0.76,10.18,-0.03375,-1.75
41.442,1.52,9.41,-0.67,-0.78,10.18,-0.03375,-1.75
41.497,1.51,9.48,-0.68,-0.78,10.18,-0.0675,-1.23
41.552,1.49,9.57,-0.71,-0.79,10.18,-0.0675,-1.32
41.61,1.48,9.58,-0.74,-0.8,10.18,-0.0675,-1.32
41.661,1.45,9.62,-0.76,-0.81,10.18,-0.03375,-1.4
41.719,1.43,9.67,-0.77,-0.82,10.18,-0.03375,-1.4
41.771,0.67,9.61,-0.78,-0.82,10.18,-0.03375,-1.32
41.83,0.72,9.64,-0.8,-0.82,10.18,-0.0675,-1.4
41.882,1.37,9.69,-0.81,-0.85,10.18,-0.0675,-1.49
41.939,1.35,9.66,-0.82,-0.88,10.18,-0.03375,-1.58
41.991,1.36,9.68,-0.83,-0.9,10.18,-0.10125,-1.49
42.046,1.34,9.66,-0.85,-0.89,10.18,-0.03375,-1.32
42.101,1.32,9.67,-0.86,-0.89,10.18,-0.03375,-0.96
42.159,1.32,9.81,-0.87,-0.91,10.18,-0.0675,-0.61
42.21,1.32,9.77,-0.88,-0.91,10.18,-0.10125,-0.52
42.268,1.31,9.84,-0.89,-0.89,10.18,-0.03375,-0.52
42.376,1.31,10,-0.91,-0.9,10.18,-0.03375,-0.61
42.429,1.31,10.05,-0.91,-0.87,10.18,-0.10125,-0.52
42.487,1.31,10.05,-0.91,-0.87,10.18,-0.10125,-0.52
42.652,1.19,10.05,-0.91,-0.89,10.18,-0.03375,-0.52
42.709,1.19,10.05,-0.92,-0.89,10.18,-0.10125,-0.52
42.762,1.18,9.95,-0.92,-0.93,10.18,-0.0675,-1.93
42.82,1.16,9.89,-0.92,-1,10.18,-0.0675,-1.84
42.877,1.16,9.96,-0.96,-0.95,10.18,-0.03375,-1.75
42.93,1.15,9.93,-0.98,-0.9,10.18,-0.0675,-1.49
42.987,1.06,9.95,-1,-0.87,10.18,-0.0675,-1.4
43.039,1.06,9.96,-1,-0.88,10.18,-0.03375,-1.4
43.092,1.13,10.11,-1,-0.94,10.18,-0.03375,-1.49
