Time,Altitude,Airspeed,Roll,Pitch,Yaw,Rudder,AoS
4.76,11.81,9.56,3.88,11.88,-2.27,0,0.71
4.816,10.38,9.5,3.91,12.38,-2.18,-0.0675,0.97
4.872,9.94,9.79,4,12.53,-2.03,-0.16875,0.71
4.924,9.36,9.75,3.91,12.69,-1.97,0,1.15
4.982,9.89,9.93,3.94,12.75,-1.84,-0.03375,1.94
5.036,9.6,9.95,3.89,13.04,-1.73,-0.135,2.73
5.093,8.66,9.99,4.05,13.31,-1.61,-0.0675,4.05
5.146,9.32,9.99,3.86,13.01,-1.53,-0.0675,4.84
5.202,8.99,10.23,4,13.06,-1.47,-0.0675,5.45
5.26,8.77,10.52,4.04,12.7,-1.44,-0.0675,5.54
5.321,8.87,10.71,4.1,12.31,-1.34,0,5.89
5.382,8.37,10.59,4.25,11.88,-1.24,-0.10125,6.86
5.442,8.31,10.59,4.32,11.41,-1.11,-0.10125,7.91
5.504,8.41,10.58,4.38,10.91,-1.01,-0.03375,8.79
5.569,8.09,10.66,4.42,10.37,-0.93,-0.03375,9.5
5.63,8.36,10.72,4.43,9.73,-0.85,-0.03375,10.37
5.683,7.76,10.73,4.47,9.19,-0.75,0,10.64
5.736,7.92,10.79,4.49,8.64,-0.65,-0.03375,10.55
5.791,7.89,10.83,4.44,8.01,-0.57,-0.0675,10.46
5.843,7.82,10.98,4.41,7.49,-0.51,-0.03375,10.46
5.902,7.64,11.12,4.4,6.9,-0.42,-0.0675,10.46
5.959,7.45,11.1,4.33,6.43,-0.35,-0.03375,10.55
6.012,7.29,11.09,4.2,5.89,-0.27,-0.03375,10.46
6.069,7.2,11.13,4.14,5.45,-0.18,-0.0675,10.29
6.122,7.26,11.2,4.01,5,-0.13,-0.03375,10.99
6.179,7.14,11.23,3.9,4.57,-0.09,-0.0675,11.08
6.232,6.97,11.24,3.81,4.08,-0.06,-0.03375,11.17
6.288,7.19,11.34,3.7,3.77,-0.01,-0.0675,11.52
6.34,7.06,11.56,3.56,3.28,0.01,-0.10125,11.52
6.394,6.87,11.62,3.46,2.94,0.01,-0.0675,11.96
6.451,6.92,11.67,3.35,2.57,0.03,-0.03375,11.96
6.509,6.75,11.62,3.21,2.28,0.03,-0.03375,11.87
6.56,6.77,11.55,3.04,1.89,0.04,-0.10125,11.96
6.618,6.79,11.51,2.88,1.53,0.04,-0.0675,11.69
6.671,6.74,11.51,2.61,1.05,0.06,-0.10125,11.78
