time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6087,0.09,0.61,9.45,1.00,0.04,-0.01,0.00,-0.68,-4.52,-0.02,28.52,0.00,0,2,1001.96,30.09,99.56,0.00,0.00,0.00,0.00,1001.36,28.97,104.46,0.00,0.00,107.23,276.94,6465,0.80,0.03,9.82,1.00,-0.01,-0.01,0.00,1.29,1.66,0.05,22,43,26,75, 0.0000000, 0.0000000, 0.00, 0.00
6139,0.15,0.71,9.44,1.00,0.04,-0.01,0.00,-0.68,-4.52,-0.02,48.21,0.00,0,2,1001.95,30.08,99.61,1001.98,28.78,98.98,0.39,1001.36,29.00,104.47,0.00,0.00,107.67,276.94,6465,-0.05,-0.36,9.62,1.00,-0.02,-0.01,0.00,0.76,1.82,0.06,22,43,26,75, 0.0000000, 0.0000000, 0.00, 0.00
6196,0.23,0.67,9.50,1.00,0.04,-0.01,0.00,-0.68,-4.52,-0.02,85.82,0.00,0,2,1001.96,30.08,99.58,1001.98,28.78,98.98,0.39,1001.36,29.00,104.47,-0.02,0.17,107.84,276.94,6464,-0.09,-0.49,9.52,1.00,-0.02,-0.01,0.00,0.75,1.81,0.06,22,43,26,75, 0.0000000, 0.0000000, 0.00, 0.00
6249,0.14,1.00,9.50,1.00,0.04,-0.01,0.00,-0.68,-4.53,-0.02,99.67,0.00,0,2,1001.96,30.09,99.57,1001.98,28.76,98.96,0.39,1001.36,28.98,104.47,-0.02,0.17,107.58,276.86,6465,-0.08,-0.80,9.43,1.00,-0.02,-0.01,0.00,0.73,1.83,0.06,22,43,26,75, 0.0000000, 0.0000000, 0.00, 0.00
6305,0.15,0.61,9.40,1.00,0.04,-0.01,0.00,-0.68,-4.53,-0.02,95.73,0.00,0,2,1001.96,30.09,99.57,1001.97,28.77,99.01,0.39,1001.36,28.98,104.47,-0.02,0.17,108.02,276.86,6464,0.34,-0.33,9.56,1.00,-0.02,-0.01,0.00,0.73,1.83,0.06,22,43,26,75, 0.0000000, 0.0000000, 0.00, 0.00
6359,0.32,0.79,9.33,1.00,0.04,-0.01,0.00,-0.68,-4.53,-0.02,91.76,0.00,0,2,1001.95,30.10,99.60,1001.98,28.76,98.93,0.39,1001.36,28.97,104.49,0.00,0.00,107.75,276.86,6464,0.33,0.05,9.60,1.00,-0.02,-0.01,0.00,0.70,1.80,0.06,22,43,27,75, 0.0000000, 0.0000000, 0.00, 0.00
6416,0.19,0.77,9.40,1.00,0.04,-0.01,0.00,-0.69,-4.53,-0.02,87.80,0.00,0,2,1001.96,30.11,99.53,1001.98,28.76,98.96,0.39,1001.36,28.99,104.48,-0.02,0.17,107.84,276.86,6464,-0.11,-0.12,9.60,1.00,-0.02,-0.01,0.00,0.70,1.81,0.07,22,43,27,75, 0.0000000, 0.0000000, 0.00, 0.00
6467,0.26,0.95,9.82,1.00,0.04,-0.01,0.00,-0.69,-4.54,-0.02,85.81,0.00,0,2,1001.96,30.10,99.55,1001.97,28.77,99.00,0.39,1001.36,29.01,104.45,-0.02,0.17,107.67,276.86,6465,-0.08,-0.53,9.57,1.00,-0.02,-0.01,0.00,0.70,1.83,0.07,22,43,27,75, 0.0000000, 0.0000000, 0.00, 0.00
6523,0.22,0.63,9.57,1.00,0.04,-0.01,0.00,-0.70,-4.55,-0.02,81.87,0.00,0,2,1001.96,30.10,99.55,1001.97,28.75,98.99,0.39,1001.36,29.00,104.46,-0.02,0.17,107.67,276.86,6464,0.00,-0.22,9.61,1.00,-0.02,-0.01,0.00,0.69,1.83,0.07,22,43,27,75, 0.0000000, 0.0000000, 0.00, 0.00
6578,0.04,0.56,9.61,1.00,0.04,-0.01,0.00,-0.71,-4.50,-0.02,77.92,0.00,0,2,1001.95,30.12,99.61,1001.97,28.75,98.99,0.39,1001.36,28.98,104.48,-0.02,0.17,107.67,276.86,6465,0.06,0.00,9.61,1.00,-0.02,-0.01,0.00,0.68,1.82,0.07,22,43,27,75, 0.0000000, 0.0000000, 0.00, 0.00
