time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6087,-0.11,-0.81,9.39,1.00,-0.05,0.01,-0.00,0.78,5.72,-0.05,30.39,0.00,0,2,1001.24,41.57,109.94,0.00,0.00,0.00,0.00,1000.60,38.07,114.59,1.40,1.57,89.12,309.46,7903,0.52,2.18,9.71,1.00,0.07,-0.04,0.00,4.16,-7.89,-0.03,6,10,24,0,35.2901933,136.2528900, 0.00, 0.22
6138,-0.22,-0.76,9.59,1.00,-0.05,0.01,-0.00,0.78,5.62,-0.04,51.88,0.00,0,2,1001.24,41.58,109.91,1001.24,41.27,109.81,0.42,1000.58,38.07,114.77,1.77,1.77,83.67,309.64,7903,0.56,1.32,9.66,1.00,0.06,-0.04,0.00,4.05,-7.14,0.17,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6194,-0.01,-0.69,9.64,1.00,-0.05,0.01,-0.00,0.77,5.58,-0.04,93.20,0.00,0,2,1001.24,41.59,109.94,1001.24,41.26,109.84,0.41,1000.58,38.08,114.75,1.92,1.84,83.50,309.64,7902,0.66,1.06,9.41,1.00,0.06,-0.04,0.00,4.05,-7.06,0.18,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6250,-0.08,-0.77,9.56,1.00,-0.05,0.01,-0.00,0.76,5.56,-0.04,109.44,0.00,0,2,1001.24,41.59,109.94,1001.24,41.26,109.82,0.42,1000.57,38.06,114.79,3.02,2.31,83.41,309.64,7902,0.68,0.98,9.64,1.00,0.06,-0.04,0.00,4.05,-6.94,0.18,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6304,-0.06,-0.63,9.64,1.00,-0.05,0.01,-0.00,0.75,5.52,-0.04,105.05,0.00,0,2,1001.24,41.59,109.92,1001.24,41.26,109.82,0.42,1000.58,38.09,114.71,1.88,1.82,84.02,309.64,7903,0.85,1.42,9.50,1.00,0.06,-0.04,0.00,4.05,-6.89,0.18,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6359,-0.04,-0.69,9.87,1.00,-0.05,0.01,-0.00,0.75,5.49,-0.04,100.65,0.00,0,2,1001.24,41.58,109.94,1001.24,41.24,109.82,0.42,1000.58,38.08,114.76,1.58,1.67,84.29,309.64,7902,0.77,1.15,9.71,1.00,0.06,-0.04,0.00,4.05,-6.81,0.18,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6415,-0.15,-0.78,9.39,1.00,-0.05,0.01,-0.00,0.74,5.50,-0.04,96.25,0.00,0,2,1001.24,41.59,109.93,1001.25,41.25,109.78,0.42,1000.59,38.08,114.69,1.58,1.67,84.55,309.64,7903,0.57,1.58,9.63,1.00,0.06,-0.04,0.00,4.05,-6.74,0.18,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6471,-0.13,-0.65,9.71,1.00,-0.05,0.01,-0.00,0.74,5.50,-0.04,91.86,0.00,0,2,1001.24,41.58,109.91,1001.24,41.25,109.82,0.41,1000.58,38.07,114.74,1.87,1.82,85.61,309.64,7903,0.48,0.75,9.70,1.00,0.06,-0.04,0.00,4.05,-6.65,0.19,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6523,0.09,-0.56,9.79,1.00,-0.05,0.01,-0.00,0.74,5.49,-0.04,89.66,0.00,0,2,1001.24,41.58,109.94,1001.25,41.25,109.84,0.42,1000.59,38.07,114.70,1.92,1.84,85.87,309.64,7902,0.85,1.93,9.39,1.00,0.06,-0.04,0.00,4.05,-6.65,0.18,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
6578,-0.18,-0.73,9.36,1.00,-0.05,0.01,-0.00,0.74,5.54,-0.04,85.27,0.00,0,2,1001.24,41.59,109.93,1001.24,41.25,109.80,0.42,1000.58,38.07,114.75,2.28,2.01,85.87,309.64,7902,0.42,1.45,9.60,1.00,0.06,-0.04,0.00,4.05,-6.60,0.19,6,10,25,0,35.2901900,136.2529000,82.90, 0.22
