time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6087,0.05,0.14,9.57,1.00,0.01,0.00,0.00,0.48,-0.77,0.01,30.47,0.00,0,2,1001.21,41.98,110.37,0.00,0.00,0.00,0.00,1000.56,38.20,115.02,3.20,2.38,101.25,316.58,7935,0.84,0.74,9.54,1.00,0.03,-0.05,0.00,5.26,-3.56,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6142,0.05,0.17,9.62,1.00,0.01,0.00,0.00,0.47,-0.78,0.01,52.01,0.00,0,2,1001.21,41.98,110.39,1001.21,41.61,110.25,0.42,1000.56,38.21,115.02,2.75,2.20,100.90,315.62,7934,0.90,0.86,9.57,1.00,0.03,-0.04,0.00,4.98,-3.65,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6195,0.00,0.13,9.51,1.00,0.01,0.00,0.00,0.45,-0.77,0.01,93.41,0.00,0,2,1001.21,41.98,110.39,1001.21,41.60,110.27,0.42,1000.56,38.21,115.01,2.77,2.21,100.63,315.62,7934,0.95,0.70,9.58,1.00,0.03,-0.04,0.00,4.97,-3.66,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6251,-0.05,0.16,9.70,1.00,0.01,0.00,0.00,0.45,-0.76,0.01,109.83,0.00,0,2,1001.21,41.96,110.37,1001.21,41.59,110.27,0.42,1000.55,38.21,115.08,2.68,2.18,100.28,315.53,7933,0.85,0.61,9.59,1.00,0.03,-0.04,0.00,4.97,-3.66,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6304,0.00,0.16,9.60,1.00,0.01,0.00,0.00,0.48,-0.75,0.01,105.42,0.00,0,2,1001.21,41.98,110.38,1001.21,41.60,110.22,0.42,1000.54,38.20,115.11,2.62,2.15,101.16,315.44,7934,0.97,0.56,9.50,1.00,0.03,-0.04,0.00,4.97,-3.66,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6362,0.05,0.13,9.50,1.00,0.01,0.00,0.00,0.46,-0.77,0.01,100.99,0.00,0,2,1001.21,41.97,110.36,1001.21,41.60,110.22,0.42,1000.55,38.20,115.09,2.65,2.16,100.72,315.35,7935,0.90,0.57,9.58,1.00,0.03,-0.04,0.00,4.97,-3.67,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6415,0.07,0.15,9.59,1.00,0.01,0.00,0.00,0.45,-0.76,0.01,96.57,0.00,0,2,1001.21,41.97,110.36,1001.21,41.59,110.24,0.42,1000.54,38.20,115.14,2.02,1.89,100.72,315.35,7935,0.70,0.60,9.50,1.00,0.03,-0.04,0.00,4.95,-3.67,-0.13,6,14,6,90,35.2902083,136.2528383,85.50, 2.07
6471,0.03,0.15,9.51,1.00,0.01,0.00,0.00,0.47,-0.75,0.01,92.18,0.00,0,2,1001.21,41.98,110.37,1001.20,41.59,110.30,0.42,1000.54,38.21,115.12,2.77,2.21,100.81,315.26,7935,0.67,0.58,9.55,1.00,0.03,-0.04,0.00,4.94,-3.67,-0.13,6,14,7,90,35.2902100,136.2528583,85.40, 2.07
6523,0.00,0.14,9.54,1.00,0.01,0.00,0.00,0.44,-0.78,0.01,89.98,0.00,0,2,1001.21,41.98,110.35,1001.21,41.59,110.24,0.42,1000.54,38.21,115.12,3.12,2.35,100.63,314.56,7934,0.79,0.75,9.53,1.00,0.03,-0.04,0.00,4.94,-3.67,-0.13,6,14,7,90,35.2902100,136.2528583,85.40, 2.07
6578,0.01,0.15,9.63,1.00,0.01,0.00,0.00,0.44,-0.78,0.01,85.58,0.00,0,2,1001.21,41.98,110.34,1001.21,41.60,110.26,0.42,1000.54,38.21,115.12,3.10,2.34,100.99,314.47,7934,0.80,0.57,9.54,1.00,0.03,-0.04,0.00,4.94,-3.67,-0.13,6,14,7,90,35.2902100,136.2528583,85.40, 2.07
6635,-0.04,0.14,9.49,1.00,0.01,0.00,0.00,0.44,-0.78,0.01,81.15,0.00,0,2,1001.21,41.98,110.34,1001.21,41.59,110.21,0.42,1000.54,38.20,115.14,3.32,2.42,101.07,314.47,7934,0.73,0.59,9.56,1.00,0.03,-0.04,0.00,4.94,-3.67,-0.13,6,14,7,90,35.2902100,136.2528583,85.40, 2.07
