time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6076,0.10,0.48,9.55,1.00,0.03,-0.00,0.00,-0.56,-2.95,-0.01,10.60,0.00,0,2,1003.63,36.40,86.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6127,0.11,0.50,9.53,1.00,0.03,-0.00,0.00,-0.56,-2.95,-0.01,10.60,0.00,0,2,1003.63,36.41,86.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6180,0.11,0.49,9.48,1.00,0.03,-0.00,0.00,-0.56,-2.95,-0.01,10.60,0.00,0,2,1003.63,36.41,86.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6235,0.11,0.51,9.61,1.00,0.03,-0.00,0.00,-0.56,-2.95,-0.01,10.60,0.00,0,2,1003.64,36.41,86.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6287,0.12,0.47,9.53,1.00,0.03,-0.00,0.00,-0.56,-2.95,-0.01,10.60,0.00,0,2,1003.63,36.41,86.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6343,0.09,0.46,9.48,1.00,0.03,-0.00,0.00,-0.56,-2.95,-0.01,10.60,0.00,0,2,1003.63,36.41,86.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6395,0.05,0.06,9.40,1.00,0.03,-0.01,0.00,-0.58,-2.95,-0.02,10.60,0.00,0,2,1003.63,36.41,86.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6448,0.04,0.91,10.39,1.00,0.03,-0.01,0.00,-0.59,-3.04,-0.02,10.60,0.00,0,2,1003.63,36.40,86.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6504,0.06,1.28,9.27,1.00,0.02,-0.00,0.00,-0.53,-2.86,0.01,10.60,0.00,0,2,1003.63,36.40,86.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6555,-0.13,-0.11,7.73,1.00,0.03,-0.00,0.00,-0.52,-2.87,-0.01,10.60,0.00,0,2,1003.63,36.41,86.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
