time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6096,-0.06,0.09,9.51,1.00,-0.00,0.00,0.00,0.56,0.12,-0.00,29.10,0.00,0,2,1001.94,23.26,97.45,1001.99,25.38,97.75,0.40,1001.36,23.92,102.78,0.00,0.00,359.03,162.16,7592,0.28,0.42,9.49,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6151,-0.12,0.07,9.47,1.00,-0.00,0.00,0.00,0.56,0.10,-0.00,47.60,0.00,0,2,1001.94,23.26,97.46,1001.99,25.39,97.78,0.40,1001.35,23.93,102.79,0.00,0.00,359.12,162.07,7585,0.15,0.62,9.57,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6207,-0.07,0.00,9.48,1.00,-0.00,0.00,0.00,0.56,0.10,-0.00,84.61,0.00,0,2,1001.95,23.27,97.42,1001.99,25.38,97.76,0.40,1001.35,23.94,102.80,-0.02,0.17,359.12,162.07,7582,0.17,0.65,9.60,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6261,-0.09,0.10,9.51,1.00,-0.00,0.00,0.00,0.56,0.08,-0.00,96.63,0.00,0,2,1001.94,23.27,97.44,1001.99,25.37,97.75,0.40,1001.35,23.93,102.79,0.00,0.00,359.03,162.07,7582,0.16,0.56,9.56,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6317,-0.13,0.05,9.46,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,94.68,0.00,0,2,1001.94,23.27,97.47,1001.98,25.38,97.80,0.40,1001.36,23.94,102.79,-0.02,0.17,359.12,162.16,7582,0.20,0.67,9.60,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6371,-0.07,0.07,9.48,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,90.78,0.00,0,2,1001.94,23.26,97.49,1001.98,25.37,97.79,0.40,1001.35,23.92,102.81,0.00,0.00,359.03,162.16,7582,0.12,0.67,9.57,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6428,-0.07,0.09,9.47,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,86.87,0.00,0,2,1001.94,23.27,97.45,1001.99,25.37,97.77,0.40,1001.36,23.93,102.77,0.00,0.00,359.03,162.16,7582,0.11,0.68,9.55,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6481,-0.09,0.01,9.46,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,82.95,0.00,0,2,1001.94,23.27,97.45,1001.99,25.37,97.77,0.40,1001.35,23.93,102.84,0.00,0.00,359.12,162.07,7583,0.21,0.62,9.53,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6538,-0.10,0.10,9.50,1.00,-0.00,0.00,0.00,0.54,0.07,-0.00,79.03,0.00,0,2,1001.94,23.27,97.47,1001.99,25.37,97.75,0.40,1001.35,23.93,102.79,0.00,0.00,359.12,162.07,7584,0.13,0.66,9.56,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6590,-0.08,0.02,9.42,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,77.07,0.00,0,2,1001.94,23.27,97.46,1001.99,25.38,97.76,0.40,1001.35,23.92,102.79,0.00,0.00,359.12,162.07,7583,0.14,0.66,9.60,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6644,-0.15,0.04,9.50,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,73.15,0.00,0,2,1001.94,23.27,97.44,1001.99,25.36,97.74,0.40,1001.35,23.92,102.80,0.00,0.00,359.12,162.16,7584,0.19,0.61,9.59,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6702,-0.04,0.11,9.57,1.00,-0.00,0.00,0.00,0.54,0.07,-0.00,69.25,0.00,0,2,1001.94,23.27,97.44,1001.98,25.36,97.78,0.40,1001.36,23.93,102.77,0.00,0.00,359.12,162.07,7584,0.18,0.60,9.58,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6759,-0.07,0.11,9.42,1.00,-0.00,0.00,0.00,0.55,0.09,-0.00,65.35,0.00,0,2,1001.94,23.27,97.46,1001.98,25.37,97.77,0.40,1001.36,23.94,102.77,0.00,0.00,359.12,162.16,7583,0.16,0.66,9.55,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6811,-0.09,0.01,9.45,1.00,-0.00,0.00,0.00,0.55,0.09,-0.00,61.44,0.00,0,2,1001.94,23.27,97.47,1001.99,25.37,97.72,0.40,1001.36,23.94,102.76,0.00,0.00,359.03,162.16,7582,0.22,0.67,9.59,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6863,-0.08,0.08,9.49,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,59.48,0.00,0,2,1001.94,23.28,97.45,1001.98,25.36,97.78,0.40,1001.36,23.94,102.79,0.00,0.00,359.12,162.07,7582,0.14,0.51,9.58,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6920,-0.07,0.13,9.50,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,55.56,0.00,0,2,1001.94,23.28,97.49,1001.99,25.36,97.74,0.40,1001.36,23.93,102.77,0.00,0.00,359.03,162.07,7580,0.17,0.67,9.58,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6973,-0.06,0.10,9.46,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,51.66,0.00,0,2,1001.94,23.27,97.47,1001.98,25.37,97.77,0.40,1001.35,23.93,102.79,0.00,0.00,359.03,162.07,7576,0.17,0.67,9.61,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
7029,-0.11,0.10,9.38,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,49.70,0.00,0,2,1001.94,23.27,97.47,1001.99,25.37,97.74,0.40,1001.35,23.91,102.80,0.00,0.00,359.12,162.07,7568,0.13,0.61,9.56,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
7081,-0.09,0.10,9.43,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,45.78,0.00,0,2,1001.94,23.27,97.48,1001.99,25.35,97.77,0.40,1001.35,23.93,102.80,0.00,0.00,359.12,162.16,7545,0.17,0.64,9.57,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
7140,-0.09,0.12,9.45,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,41.87,0.00,0,2,1001.94,23.28,97.48,1001.98,25.36,97.78,0.40,1001.35,23.92,102.83,0.00,0.00,359.12,162.07,7534,0.16,0.66,9.58,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
7193,-0.07,0.14,9.48,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,37.98,0.00,0,2,1001.94,23.27,97.49,1001.98,25.35,97.80,0.40,1001.36,23.95,102.76,0.00,0.00,359.03,162.07,7516,0.11,0.67,9.57,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
7245,-0.08,0.06,9.50,1.00,-0.00,0.00,0.00,0.55,0.08,-0.00,34.07,0.00,0,2,1001.94,23.27,97.49,1001.99,25.36,97.76,0.40,1001.36,23.95,102.77,0.00,0.00,359.12,162.07,7496,0.17,0.71,9.56,1.00,0.03,-0.01,0.00,0.83,-3.64,0.06,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
