time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6080,0.02,-0.89,9.41,1.00,-0.05,-0.00,0.00,-0.23,5.92,0.06,10.60,0.00,0,2,1003.29,33.60,88.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,45,86, 0.0000000, 0.0000000, 0.00, 0.00
6131,0.01,-0.89,9.56,1.00,-0.05,-0.00,0.00,-0.23,5.91,0.06,42.53,0.00,0,2,1003.28,33.59,88.81,1003.29,33.48,88.70,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,45,86, 0.0000000, 0.0000000, 0.00, 0.00
6187,0.05,-0.82,9.50,1.00,-0.05,-0.00,0.00,-0.24,5.88,0.06,58.49,0.00,0,2,1003.29,33.60,88.76,1003.29,33.47,88.69,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,45,86, 0.0000000, 0.0000000, 0.00, 0.00
6248,-0.08,-0.87,9.62,1.00,-0.05,-0.00,0.00,-0.24,5.88,0.06,86.94,0.00,0,2,1003.29,33.59,88.77,1003.30,33.46,88.67,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,45,86, 0.0000000, 0.0000000, 0.00, 0.00
6306,0.12,-0.91,10.50,1.00,-0.05,-0.00,0.00,-0.19,5.88,0.06,85.16,0.00,0,2,1003.29,33.60,88.78,1003.30,33.48,88.62,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,86, 0.0000000, 0.0000000, 0.00, 0.00
6366,0.06,-0.99,9.28,1.00,-0.05,-0.00,0.00,-0.17,5.92,0.06,81.62,0.00,0,2,1003.29,33.61,88.78,1003.31,33.46,88.53,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,86, 0.0000000, 0.0000000, 0.00, 0.00
6426,-0.12,-0.69,9.55,1.00,-0.05,-0.00,0.00,-0.15,5.92,0.06,78.07,0.00,0,2,1003.29,33.60,88.76,1003.32,33.46,88.47,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,86, 0.0000000, 0.0000000, 0.00, 0.00
6487,-0.25,-0.84,9.29,1.00,-0.05,-0.00,0.00,-0.14,5.89,0.06,74.52,0.00,0,2,1003.29,33.60,88.78,1003.31,33.45,88.49,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,86, 0.0000000, 0.0000000, 0.00, 0.00
6546,0.00,-0.82,9.64,1.00,-0.05,-0.00,0.00,-0.11,5.86,0.05,70.96,0.00,0,2,1003.29,33.61,88.79,1003.32,33.45,88.48,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,86, 0.0000000, 0.0000000, 0.00, 0.00
6608,0.26,-0.84,9.30,1.00,-0.05,-0.00,0.00,-0.10,5.87,0.05,67.42,0.00,0,2,1003.29,33.60,88.77,1003.32,33.44,88.45,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,86, 0.0000000, 0.0000000, 0.00, 0.00
