time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6087,0.22,0.71,9.58,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,31.04,0.00,0,2,1000.77,39.48,113.54,0.00,0.00,0.00,0.00,1000.17,37.15,118.11,-0.05,0.30,105.21,284.94,6465,0.30,-0.67,9.63,1.00,-0.01,-0.00,-0.00,0.28,1.27,-0.08,23,5,51,81,35.2941417,136.2545183,93.50, 2.32
6143,0.17,0.64,9.47,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,53.12,0.00,0,2,1000.77,39.48,113.54,1000.77,37.44,112.77,0.36,1000.17,37.17,118.10,-0.05,0.30,105.21,284.94,6465,-0.04,-0.32,9.60,1.00,-0.01,-0.00,-0.00,0.25,1.62,-0.00,23,5,51,81,35.2941417,136.2545183,93.50, 2.32
6195,0.23,0.68,9.46,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,95.63,0.00,0,2,1000.76,39.48,113.57,1000.77,37.44,112.77,0.36,1000.18,37.17,118.08,-0.03,0.24,105.21,284.94,6465,-0.08,-0.37,9.51,1.00,-0.01,-0.00,-0.00,0.24,1.62,-0.00,23,5,51,81,35.2941417,136.2545183,93.50, 2.32
6251,0.26,0.60,9.62,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,112.10,0.00,0,2,1000.77,39.49,113.57,1000.77,37.43,112.80,0.38,1000.18,37.17,118.09,-0.03,0.24,105.21,284.94,6465,0.00,-0.09,9.65,1.00,-0.01,-0.00,-0.00,0.24,1.62,-0.00,23,5,51,81,35.2941417,136.2545183,93.50, 2.32
6304,0.19,0.70,9.38,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,107.60,0.00,0,2,1000.77,39.51,113.54,1000.77,37.43,112.78,0.38,1000.18,37.17,118.09,-0.07,0.34,105.21,284.94,6465,0.07,-0.47,9.51,1.00,-0.01,-0.00,-0.00,0.22,1.62,-0.00,23,5,51,81,35.2941417,136.2545183,93.50, 2.32
6361,0.23,0.66,9.63,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,103.07,0.00,0,2,1000.77,39.50,113.53,1000.77,37.43,112.76,0.39,1000.17,37.16,118.12,-0.05,0.30,105.21,284.94,6465,-0.12,-0.51,9.54,1.00,-0.01,-0.00,-0.00,0.22,1.62,-0.00,23,5,51,81,35.2941417,136.2545183,93.50, 2.32
6415,0.22,0.76,9.46,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,98.56,0.00,0,2,1000.77,39.50,113.53,1000.77,37.43,112.80,0.40,1000.18,37.18,118.06,-0.03,0.24,105.21,284.94,6466,-0.09,-0.80,9.33,1.00,-0.01,-0.00,-0.00,0.22,1.64,-0.00,23,5,51,81,35.2941417,136.2545183,93.50, 1.10
6472,0.27,0.67,9.54,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,94.06,0.00,0,2,1000.77,39.49,113.57,1000.77,37.42,112.80,0.39,1000.18,37.18,118.09,-0.03,0.24,105.21,284.94,6465,-0.01,0.09,9.78,1.00,-0.01,-0.00,-0.00,0.22,1.64,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6524,0.26,0.77,9.57,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,91.81,0.00,0,2,1000.77,39.51,113.52,1000.77,37.44,112.77,0.40,1000.18,37.18,118.10,-0.05,0.30,105.21,284.94,6464,-0.05,-0.90,9.44,1.00,-0.01,-0.00,-0.00,0.22,1.66,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6582,0.27,0.65,9.55,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,87.31,0.00,0,2,1000.77,39.49,113.55,1000.76,37.42,112.80,0.40,1000.18,37.16,118.08,-0.03,0.24,105.21,284.94,6465,-0.06,-0.83,9.25,1.00,-0.01,-0.00,-0.00,0.22,1.68,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6637,0.18,0.68,9.46,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,82.80,0.00,0,2,1000.77,39.50,113.56,1000.77,37.43,112.81,0.39,1000.18,37.18,118.07,-0.03,0.24,105.21,284.94,6465,0.08,-1.06,9.40,1.00,-0.01,-0.00,-0.00,0.22,1.69,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6692,0.25,0.71,9.50,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,78.29,0.00,0,2,1000.77,39.52,113.53,1000.77,37.42,112.78,0.39,1000.18,37.18,118.09,-0.03,0.24,105.29,284.94,6465,-0.10,0.14,9.73,1.00,-0.01,-0.00,-0.00,0.22,1.67,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6743,0.21,0.68,9.68,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,76.03,0.00,0,2,1000.77,39.50,113.53,1000.77,37.42,112.78,0.39,1000.18,37.18,118.05,-0.05,0.30,105.21,284.94,6465,-0.01,-0.96,9.49,1.00,-0.01,-0.00,-0.00,0.22,1.69,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6801,0.25,0.69,9.44,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,71.51,0.00,0,2,1000.77,39.51,113.54,1000.76,37.42,112.78,0.38,1000.17,37.18,118.11,-0.03,0.24,105.21,284.94,6466,-0.02,-0.99,9.31,1.00,-0.01,-0.00,-0.00,0.22,1.70,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6855,0.15,0.66,9.59,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,67.01,0.00,0,2,1000.77,39.52,113.55,1000.76,37.42,112.82,0.39,1000.18,37.18,118.07,-0.05,0.30,105.29,284.94,6466,0.00,-1.02,9.31,1.00,-0.02,-0.00,-0.00,0.22,1.72,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6911,0.22,0.75,9.57,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,62.50,0.00,0,2,1000.77,39.52,113.55,1000.77,37.42,112.80,0.38,1000.18,37.18,118.09,-0.05,0.30,105.21,284.94,6466,-0.11,-0.42,9.45,1.00,-0.01,-0.00,-0.00,0.22,1.71,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
6962,0.26,0.61,9.50,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,57.98,0.00,0,2,1000.77,39.52,113.55,1000.77,37.43,112.78,0.37,1000.18,37.18,118.09,-0.05,0.30,105.21,284.94,6466,-0.02,-1.06,9.39,1.00,-0.02,-0.00,-0.00,0.22,1.73,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
7019,0.23,0.74,9.51,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,55.71,0.00,0,2,1000.77,39.52,113.57,1000.77,37.42,112.78,0.36,1000.18,37.18,118.09,-0.05,0.30,105.21,284.94,6465,0.06,-1.35,9.36,1.00,-0.02,-0.00,-0.00,0.22,1.76,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
7072,0.21,0.71,9.53,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,51.19,0.00,0,2,1000.77,39.52,113.55,1000.77,37.41,112.79,0.35,1000.18,37.18,118.04,-0.05,0.30,105.29,284.94,6466,0.03,0.67,9.84,1.00,-0.02,-0.00,-0.00,0.22,1.73,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
7126,0.20,0.62,9.49,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,46.68,0.00,0,2,1000.77,39.52,113.55,1000.77,37.42,112.77,0.35,1000.18,37.17,118.08,-0.05,0.30,105.21,284.94,6465,0.04,-0.38,9.49,1.00,-0.02,-0.00,-0.00,0.22,1.76,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 1.10
7181,0.27,0.66,9.66,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,42.18,0.00,0,2,1000.77,39.50,113.57,1000.77,37.42,112.78,0.35,1000.17,37.17,118.13,-0.05,0.30,105.12,284.94,6466,-0.14,-1.01,9.35,1.00,-0.02,-0.00,-0.00,0.22,1.78,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7239,0.18,0.64,9.61,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,37.67,0.00,0,2,1000.77,39.52,113.55,1000.77,37.42,112.80,0.35,1000.18,37.18,118.10,-0.05,0.30,105.12,284.94,6466,-0.40,-0.60,9.49,1.00,-0.02,-0.00,-0.00,0.22,1.81,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7292,0.14,0.72,9.50,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,35.42,0.00,0,2,1000.77,39.51,113.57,1000.77,37.41,112.78,0.35,1000.18,37.18,118.09,-0.05,0.30,105.21,284.94,6465,-0.22,0.03,9.71,1.00,-0.02,-0.00,-0.00,0.22,1.78,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7349,0.16,0.73,9.50,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,30.90,0.00,0,2,1000.77,39.52,113.57,1000.77,37.41,112.77,0.35,1000.18,37.18,118.10,-0.05,0.30,105.21,284.94,6465,0.00,0.36,9.85,1.00,-0.02,-0.00,-0.00,0.22,1.80,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7402,0.25,0.65,9.49,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,26.38,0.00,0,2,1000.77,39.52,113.55,1000.77,37.42,112.77,0.35,1000.18,37.17,118.08,-0.05,0.30,105.21,284.94,6465,0.06,-0.89,9.46,1.00,-0.02,-0.00,-0.00,0.22,1.83,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7460,0.26,0.73,9.51,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,21.87,0.00,0,2,1000.77,39.53,113.56,1000.77,37.42,112.78,0.35,1000.17,37.17,118.12,-0.05,0.30,105.21,284.94,6466,0.03,-0.62,9.52,1.00,-0.02,-0.00,-0.00,0.22,1.83,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7511,0.24,0.65,9.68,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,19.62,0.00,0,2,1000.77,39.54,113.55,1000.77,37.42,112.80,0.35,1000.17,37.19,118.10,-0.03,0.24,105.21,284.94,6466,0.04,0.12,9.65,1.00,-0.02,-0.00,-0.00,0.22,1.83,-0.00,23,5,52,81,35.2941667,136.2544867,93.50, 0.90
7570,0.22,0.70,9.48,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,15.12,0.00,0,2,1000.77,39.54,113.52,1000.77,37.42,112.79,0.35,1000.17,37.17,118.15,-0.03,0.24,105.21,284.94,6464,-0.11,-0.83,9.43,1.00,-0.02,-0.00,-0.00,0.22,1.85,-0.00,23,5,53,81,35.2941683, 1.6000000,19.00, 0.90
7622,0.30,0.69,9.57,1.00,0.04,-0.01,0.00,-0.87,-4.11,-0.02,10.61,0.00,0,2,1000.77,39.54,113.59,1000.76,37.42,112.84,0.35,1000.17,37.16,118.15,-0.05,0.30,105.21,284.94,6466,-0.03,-0.33,9.55,1.00,-0.02,-0.00,-0.00,0.22,1.85,-0.00,23,5,53,81,35.2941683, 1.6000000,19.00, 0.90
