time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6087,0.02,-0.20,9.60,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,30.35,0.00,0,2,1001.28,41.91,109.72,0.00,0.00,0.00,0.00,1000.62,38.03,114.37,1.98,1.87,93.78,311.04,7902,0.69,0.45,9.46,1.00,0.03,-0.04,0.00,4.15,-3.61,-0.12,6,9,31,0,35.2901967,136.2528767,82.90, 2.05
6141,0.02,-0.20,9.60,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,69.86,0.00,0,2,1001.28,41.91,109.72,1001.27,41.18,109.50,0.41,1000.62,38.05,114.32,2.55,2.12,86.66,311.22,7903,0.71,0.67,9.55,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 2.05
6194,0.02,-0.18,9.59,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,92.94,0.00,0,2,1001.28,41.91,109.73,1001.28,41.18,109.45,0.41,1000.62,38.06,114.36,2.08,1.92,86.75,311.13,7902,0.71,0.60,9.58,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 2.05
6246,0.01,-0.19,9.54,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,109.13,0.00,0,2,1001.28,41.90,109.71,1001.28,41.18,109.42,0.41,1000.62,38.04,114.35,0.82,1.20,86.66,311.13,7902,0.76,0.70,9.55,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 2.05
6304,0.00,-0.20,9.58,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,104.73,0.00,0,2,1001.28,41.92,109.71,1001.28,41.17,109.50,0.41,1000.63,38.05,114.31,2.68,2.18,86.66,311.13,7903,0.68,0.69,9.61,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 2.05
6362,0.03,-0.19,9.53,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,100.35,0.00,0,2,1001.28,41.91,109.72,1001.28,41.18,109.45,0.41,1000.62,38.05,114.39,1.63,1.70,86.92,311.22,7902,0.66,0.67,9.58,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 2.05
6415,0.01,-0.22,9.55,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,95.98,0.00,0,2,1001.28,41.91,109.72,1001.28,41.17,109.47,0.41,1000.62,38.05,114.40,1.82,1.79,87.80,311.22,7902,0.65,0.72,9.57,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 1.07
6470,-0.01,-0.20,9.57,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,91.60,0.00,0,2,1001.28,41.91,109.74,1001.28,41.17,109.44,0.41,1000.62,38.05,114.36,1.75,1.76,89.30,311.22,7903,0.74,0.66,9.54,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,31,0,35.2901967,136.2528767,82.90, 1.07
6523,0.00,-0.21,9.60,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,89.41,0.00,0,2,1001.27,41.92,109.75,1001.28,41.18,109.44,0.41,1000.62,38.03,114.36,1.20,1.46,88.95,311.22,7901,0.78,0.62,9.56,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,32,0,35.2901983,136.2528833,83.10, 1.07
6577,0.00,-0.19,9.57,1.00,-0.01,-0.00,0.00,-0.07,1.45,0.00,85.03,0.00,0,2,1001.27,41.91,109.75,1001.28,41.16,109.48,0.41,1000.62,38.04,114.39,1.15,1.42,88.77,311.22,7902,0.67,0.63,9.55,1.00,0.03,-0.04,0.00,4.19,-3.74,-0.13,6,9,32,0,35.2901983,136.2528833,83.10, 1.07
