time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6087,0.11,0.73,9.46,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,28.53,0.00,0,2,1001.93,29.44,99.62,0.00,0.00,0.00,0.00,1001.33,28.46,104.54,-0.02,0.17,114.35,275.89,6465,-0.03,-0.45,9.54,1.00,-0.02,0.00,-0.00,-0.21,2.00,-0.02,22,38,50,60, 0.0000000, 0.0000000, 0.00, 0.00
6140,0.15,0.78,9.52,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,48.24,0.00,0,2,1001.93,29.45,99.61,1001.95,28.51,99.14,0.39,1001.33,28.47,104.59,-0.02,0.17,114.52,275.98,6464,-0.04,-0.27,9.59,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,50,60, 0.0000000, 0.0000000, 0.00, 0.00
6195,0.17,0.64,9.45,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,85.89,0.00,0,2,1001.93,29.43,99.63,1001.95,28.51,99.15,0.39,1001.33,28.48,104.55,-0.03,0.24,114.61,275.98,6465,-0.05,-0.20,9.56,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,50,60, 0.0000000, 0.0000000, 0.00, 0.00
6247,0.14,0.80,9.50,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,99.84,0.00,0,2,1001.93,29.46,99.61,1001.94,28.49,99.15,0.39,1001.33,28.48,104.55,-0.02,0.17,114.52,275.98,6466,-0.04,-0.15,9.65,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,50,60, 0.0000000, 0.0000000, 0.00, 0.00
6299,0.13,0.71,9.42,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,95.87,0.00,0,2,1001.93,29.46,99.61,1001.95,28.50,99.14,0.39,1001.33,28.48,104.56,0.00,0.00,114.26,275.98,6464,0.00,-0.56,9.50,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,50,60, 0.0000000, 0.0000000, 0.00, 0.00
6357,0.16,0.79,9.48,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,91.90,0.00,0,2,1001.93,29.45,99.59,1001.95,28.51,99.12,0.39,1001.33,28.47,104.56,-0.02,0.17,114.26,275.98,6464,0.00,-0.18,9.62,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6409,0.10,0.68,9.49,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,89.91,0.00,0,2,1001.93,29.47,99.61,1001.95,28.49,99.17,0.39,1001.33,28.47,104.58,-0.02,0.17,114.26,275.98,6463,0.00,-0.24,9.58,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6468,0.15,0.72,9.39,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,85.95,0.00,0,2,1001.93,29.46,99.61,1001.95,28.51,99.12,0.39,1001.33,28.46,104.59,-0.02,0.17,114.26,275.98,6464,-0.05,-0.30,9.50,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6527,0.14,0.79,9.41,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,81.98,0.00,0,2,1001.93,29.46,99.63,1001.94,28.50,99.14,0.39,1001.33,28.48,104.56,-0.03,0.24,114.26,275.98,6466,0.00,-0.56,9.57,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6579,0.11,0.71,9.47,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,78.00,0.00,0,2,1001.93,29.47,99.64,1001.95,28.50,99.11,0.39,1001.33,28.48,104.58,-0.02,0.17,114.26,275.98,6464,0.06,-0.20,9.53,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6637,0.13,0.65,9.48,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,74.04,0.00,0,2,1001.93,29.47,99.64,1001.95,28.50,99.13,0.39,1001.33,28.48,104.58,-0.02,0.17,114.26,275.80,6466,-0.03,-0.22,9.58,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6689,0.17,0.75,9.48,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,70.08,0.00,0,2,1001.93,29.47,99.64,1001.94,28.50,99.16,0.39,1001.33,28.48,104.57,-0.02,0.17,114.17,275.71,6465,0.02,-0.16,9.60,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6746,0.13,0.80,9.44,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,68.10,0.00,0,2,1001.92,29.48,99.66,1001.95,28.51,99.14,0.39,1001.32,28.47,104.62,-0.02,0.17,114.08,275.71,6465,-0.06,-0.56,9.52,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
6797,0.11,0.67,9.57,1.00,0.04,-0.01,0.00,-0.94,-4.40,-0.04,64.14,0.00,0,2,1001.92,29.46,99.68,1001.95,28.50,99.14,0.39,1001.33,28.47,104.60,-0.02,0.17,113.99,275.71,6465,0.02,-0.07,9.66,1.00,-0.02,0.00,-0.00,-0.18,1.98,-0.02,22,38,51,60, 0.0000000, 0.0000000, 0.00, 0.00
